"filename", "language", "Python", "Properties", "Batch", "PowerShell", "HTML", "JavaScript", "XML", "CSS", "Markdown", "C", "comment", "blank", "total"
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\nb\formats.py", "Python", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 2, 42
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\nl\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\nl\formats.py", "Python", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 2, 93
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\nn\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\nn\formats.py", "Python", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 2, 42
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\pl\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\pl\formats.py", "Python", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 31
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\pt\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\pt\formats.py", "Python", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 2, 40
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\pt_BR\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\pt_BR\formats.py", "Python", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 2, 35
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\ro\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\ro\formats.py", "Python", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 36
